sentence,sentiment,topic,sentence_seg
"giảng viên nhiệt tình , giải nhiều bài tập .",positive,lecturer,"giảng_viên nhiệt_tình , giải nhiều bài_tập ."
bài giảng của thầy rất nhiệt tình .,positive,lecturer,bài giảng của thầy rất nhiệt_tình .
"môn học chưa thực tiễn , chưa thu hút sinh viên .",negative,training_program,"môn_học chưa thực_tiễn , chưa thu_hút sinh_viên ."
dạy hơi nhanh !,negative,lecturer,dạy hơi nhanh !
ít làm bài tập .,negative,training_program,ít làm bài_tập .
"giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề .",negative,lecturer,"giảng bài kém thu_hút , vị_trí đứng giảng không hợp_lý , ôn_tập cuối kỳ còn chưa tập_trung vào vấn_đề ."
"giảng viên nhiệt tình , bài giảng thu hút .",positive,lecturer,"giảng_viên nhiệt_tình , bài giảng thu_hút ."
"nhờ thầy và giảng viên lý thuyết , em đã hiểu rõ về môn này rất nhiều !",positive,lecturer,"nhờ thầy và giảng_viên lý_thuyết , em đã hiểu rõ về môn này rất nhiều !"
môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .,negative,training_program,môn này khá trừu_tượng nên mong thầy có nhiều liên_tưởng tới thực_tiễn hơn để chúng em có_thể hiểu .
cần thêm nhiều tài liệu cho sinh viên .,negative,training_program,cần thêm nhiều tài_liệu cho sinh_viên .
bài tập trên lớp .,neutral,training_program,bài_tập trên lớp .
tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .,negative,training_program,tăng số tiết dạy lên để sinh_viên có nhiều cơ_hội hỏi_đáp thắc_mắc về môn_học .
thầy nhiệt tình dễ hiểu .,positive,lecturer,thầy nhiệt_tình dễ hiểu .
thực hành và lý thuyết nên dạy song song .,negative,training_program,thực_hành và lý_thuyết nên dạy song_song .
giảng viên dạy nhanh .,negative,lecturer,giảng_viên dạy nhanh .
bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng .,negative,training_program,bài_tập trên lớp nên được giới_thiệu ngay từ đầu tiết học để học_sinh không tốn thời_gian đọc đề cũng như có_thể suy_nghĩ cách giải cùng lúc với việc nghe giảng .
giảng viên cho bài tập hay .,positive,lecturer,giảng_viên cho bài_tập hay .
cập nhật bài tập mới .,negative,training_program,cập_nhật bài_tập mới .
"lên lớp ai làm việc người ấy , thầy không có giảng gì thêm .",negative,lecturer,"lên_lớp ai làm_việc người ấy , thầy không có giảng gì thêm ."
"tận tâm , nhiệt tình , quan tâm đến sinh viên .",positive,lecturer,"tận_tâm , nhiệt_tình , quan_tâm đến sinh_viên ."
phản hồi giải đáp thắc mắc cho sinh viên .,positive,lecturer,phản_hồi giải_đáp thắc_mắc cho sinh_viên .
dạy quá nhanh .,negative,lecturer,dạy quá nhanh .
mong ban thiết bị sớm khắc phục ạ !,negative,facility,mong ban thiết_bị sớm khắc_phục ạ !
môn này cần làm đề tài để áp dụng lý thuyết vào thực tiễn mà trên lớp chỉ học một đống lý thuyết và hiếm ai nhớ đa số khá buồn ngủ khi lên lớp .,negative,training_program,môn này cần làm đề_tài để áp_dụng lý_thuyết vào thực_tiễn mà trên lớp chỉ học một đống lý_thuyết và hiếm ai nhớ đa_số khá buồn_ngủ khi lên_lớp .
"giảng viên nên đổi mới phương pháp giảng dạy , tránh thô cứng , không hấp dẫn sinh viên .",negative,lecturer,"giảng_viên nên đổi_mới phương_pháp giảng_dạy , tránh thô cứng , không hấp_dẫn sinh_viên ."
"nhiệt tình , tạo cách chủ động cho học sinh tiếp cận với môn học và tham gia các chương trình phong trào liên quan để nâng cao kỹ năng .",positive,lecturer,"nhiệt_tình , tạo cách chủ_động cho học_sinh tiếp_cận với môn_học và tham_gia các chương_trình phong_trào liên_quan để nâng cao kỹ_năng ."
"cô dạy rất tận tình , dễ hiểu .",positive,lecturer,"cô dạy rất tận_tình , dễ hiểu ."
không đáp ứng được nhu cầu của sinh viên .,negative,training_program,không đáp_ứng được nhu_cầu của sinh_viên .
thầy rất nhiệt tình với chúng em và điều này làm em rất hài lòng .,positive,lecturer,thầy rất nhiệt_tình với chúng em và điều này làm em rất hài_lòng .
cách giảng dạy của thầy rất hay và có phần dễ hiễu .,positive,lecturer,cách giảng_dạy của thầy rất hay và có phần dễ hiễu .
"nhiệt tình , dễ thương .",positive,lecturer,"nhiệt_tình , dễ_thương ."
không hướng dẫn đồ án .,negative,lecturer,không hướng_dẫn đồ_án .
em xin đề nghị nhà trường nên bổ sung tài liệu về môn học và cập nhật nội dung .,negative,training_program,em xin đề_nghị nhà_trường nên bổ_sung tài_liệu về môn_học và cập_nhật nội_dung .
"chép bài rất nhiều , lãng phí thời gian nghe giảng .",negative,lecturer,"chép bài rất nhiều , lãng_phí thời_gian nghe giảng ."
"em không học thầy wzjwz178 kỳ này , giáo viên thực hành có 2 người nên có lẽ daa nhầm .",negative,lecturer,"em không học thầy wzjwz178 kỳ này , giáo_viên thực_hành có 2 người nên có_lẽ daa nhầm ."
đề thi môn dài sinh viên làm không đủ thời gian .,negative,others,đề thi môn dài sinh_viên làm không đủ thời_gian .
cho làm nhiều bài test .,negative,lecturer,cho làm nhiều bài test .
theo em thì nên thi phòng máy nào có visual 2013 trở lên .,negative,facility,theo em thì nên thi phòng máy nào có visual 2013 trở lên .
cần thêm nhiều tài liệu cho môn học .,negative,training_program,cần thêm nhiều tài_liệu cho môn_học .
thầy giảng dạy tốt .,positive,lecturer,thầy giảng_dạy tốt .
mong thầy có thể hướng dẫn cách cụ thể nhất cho những bài khó .,negative,lecturer,mong thầy có_thể hướng_dẫn cách cụ_thể nhất cho những bài khó .
thầy cần cho bài tập và hướng dẫn nhiều hơn .,negative,lecturer,thầy cần cho bài_tập và hướng_dẫn nhiều hơn .
"giáo viên lên lớp đúng giờ , giảng bài sôi động .",positive,lecturer,"giáo_viên lên_lớp đúng giờ , giảng bài sôi_động ."
em thấy thầy chỉ giảng cho có .,negative,lecturer,em thấy thầy chỉ giảng cho có .
cần xác định rõ mục đích môn học và cho sinh viên đề cương chi tiết môn học trước khi bắt đầu .,negative,training_program,cần xác_định rõ mục_đích môn_học và cho sinh_viên đề_cương chi_tiết môn_học trước khi bắt_đầu .
"thầy nói chuyện với sinh viên rất tự nhiên , chia sẻ kinh nghiệm thực tế .",positive,lecturer,"thầy nói_chuyện với sinh_viên rất tự_nhiên , chia_sẻ kinh_nghiệm thực_tế ."
dạy theo sát chương trình .,positive,lecturer,dạy theo sát chương_trình .
cung cấp thêm trang thiết bị phục vụ nhu cầu môn học .,negative,facility,cung_cấp thêm trang thiết_bị phục_vụ nhu_cầu_môn_học .
đề nghị nâng cấp phòng lab khoa mạng .,negative,facility,đề_nghị nâng_cấp phòng lab khoa mạng .
"thầy giảng hay và tâm huyết , bài giảng có tính thực tiễn cao .",positive,lecturer,"thầy giảng hay và tâm_huyết , bài giảng có tính thực_tiễn cao ."
đi dạy đúng giờ .,positive,lecturer,đi dạy đúng giờ .
"thầy cung cấp nhiều kiến thức mới , thầy dạy tận tâm và nhiệt tình !",positive,lecturer,"thầy cung_cấp nhiều kiến_thức mới , thầy dạy tận_tâm và nhiệt_tình !"
có tăng thêm nhiều ví dụ để minh họa cho lý thuyết vì có nhiều phần lý thuyết rất trừu tượng .,positive,lecturer,có tăng thêm nhiều ví_dụ để minh_họa cho lý_thuyết vì có nhiều phần lý_thuyết rất trừu_tượng .
các yêu cầu về đồ án môn học nên đươc đưa ra chính xác trước khi sinh viên bắt đầu thực hiện chia nhóm và làm đồ án .,negative,training_program,các yêu_cầu về đồ_án môn_học nên đươc đưa ra chính_xác trước khi sinh_viên bắt_đầu thực_hiện chia nhóm và làm đồ_án .
"dạy dễ hiểu dễ tiếp thu , tập trung vài kiến thức trọng tâm .",positive,lecturer,"dạy dễ hiểu dễ tiếp_thu , tập_trung vài kiến_thức trọng_tâm ."
"dạy chưa được kỹ lắm , điểm nên thoáng hơn .",negative,lecturer,"dạy chưa được kỹ lắm , điểm nên thoáng hơn ."
chưa chuẩn bị kỹ bài giảng để có thể trả lời các thắc mắc của sinh viên trên lớp .,negative,lecturer,chưa chuẩn_bị kỹ bài giảng để có_thể trả_lời các thắc_mắc của sinh_viên trên lớp .
cô khá tận tâm cho học sinh .,positive,lecturer,cô khá tận_tâm cho học_sinh .
"cần cải cách lại nội dung các bài thực hành , một số kiến nội dung trong bài thực hành đã trở nên lỗi thời .",negative,training_program,"cần cải_cách lại nội_dung các bài thực_hành , một_số kiến nội_dung trong bài thực_hành đã trở_nên lỗi_thời ."
giảng viên có khả năng truyền đạt kiến thức tốt .,positive,lecturer,giảng_viên có khả_năng truyền_đạt kiến_thức tốt .
cho làm nhiều bài tập .,negative,lecturer,cho làm nhiều bài_tập .
nghiên cứu khoa học .,neutral,others,nghiên_cứu khoa_học .
"giáo viên dạy rất tận tâm , nhiệt tình .",positive,lecturer,"giáo_viên dạy rất tận_tâm , nhiệt_tình ."
thầy cô hướng dẫn đồ án hệ thống thông tin cần có thêm một vài buổi gặp mặt với sinh viên và đưa ra lịch cố định trên trường để sinh viên thắc mắc có thể lên hỏi trực tiếp !,negative,lecturer,thầy cô hướng_dẫn đồ_án hệ_thống thông_tin cần có thêm một_vài buổi gặp_mặt với sinh_viên và đưa ra lịch cố_định trên trường để sinh_viên thắc_mắc có_thể lên hỏi trực_tiếp !
chỉ thông báo trên lớp sẽ khó tránh sai sót .,negative,others,chỉ thông_báo trên lớp sẽ khó tránh sai_sót .
cô viết ở góc bảng gần chổ bụt giảng khiến nhiều khi khó quan sát được ạ .,negative,lecturer,cô viết ở góc bảng gần chổ bụt giảng khiến nhiều khi khó quan_sát được ạ .
đề nghị lắp thêm quạt .,negative,facility,đề_nghị lắp thêm quạt .
dạy kỹ .,positive,lecturer,dạy kỹ .
bài tập cần đa dạng hơn .,negative,training_program,bài_tập cần đa_dạng hơn .
nói rất nhỏ .,negative,lecturer,nói rất nhỏ .
có lúc làm bài sai giáo viên nói làm hơi tự ái .,negative,lecturer,có lúc làm bài sai giáo_viên nói làm hơi tự_ái .
không sửa các bài tập thực hành .,negative,lecturer,không sửa các bài_tập thực_hành .
