sentence,sentiment,topic,sentence_seg,gemini_sentiment,gemini_topic
thầy quá khắt khe .,negative,lecturer,thầy quá khắt_khe .,negative,lecturer
nên ôn lại lý thuyết rồi hướng dẫn kỹ thực hành .,negative,lecturer,nên ôn lại lý_thuyết rồi hướng_dẫn kỹ thực_hành .,neutral,training_program
giáo viên dạy chưa tốt .,negative,lecturer,giáo_viên dạy chưa tốt .,negative,lecturer
quá trình giảng dạy vẫn còn chưa thực sự hiệu quả .,negative,lecturer,quá_trình giảng_dạy vẫn còn chưa thực_sự hiệu_quả .,negative,lecturer
dạy nhanh đôi lúc gây khó hiểu .,negative,lecturer,dạy nhanh đôi lúc gây khó hiểu .,negative,lecturer
rất ít khi thấy giảng viên đến phòng thực hành .,negative,lecturer,rất ít khi thấy giảng_viên đến phòng thực_hành .,negative,lecturer
"thầy có dặn nên up lên youtube , nhưng do mạng nhà yếu nên em nén lại up lên mediafire thì bị trừ điểm .",negative,lecturer,"thầy có dặn nên up lên youtube , nhưng do mạng nhà yếu nên em nén lại up lên mediafire thì bị trừ điểm .",negative,lecturer
"tôi không đồng ý với cách giảng dạy của giáo viên , một bài mà giảng lúc tiếng anh , lúc tiếng việt khoe khả năng của mình và tôi nhận thấy kiến thức trong bài giảng đó tôi không thể nắm bắt được trên 50% .",negative,lecturer,"tôi không đồng_ý với cách giảng_dạy của giáo_viên , một bài mà giảng lúc tiếng anh , lúc tiếng việt khoe khả_năng của mình và tôi nhận thấy kiến_thức trong bài giảng đó tôi không_thể nắm_bắt được trên 50 % .",negative,lecturer
giảng hơi buồn ngủ .,negative,lecturer,giảng hơi buồn_ngủ .,negative,lecturer
"giảng viên dạy nhanh các ngữ pháp , nhưng cần phải upload tài liệu lên moodle , vì giảng viên giảng bài quá nhanh nên sinh viên không theo kịp .",negative,lecturer,"giảng_viên dạy nhanh các ngữ_pháp , nhưng cần phải upload tài_liệu lên moodle , vì giảng_viên giảng bài quá nhanh nên sinh_viên không theo kịp .",negative,lecturer
"về cách chấm điểm đồ án cuối kỳ , giảng viên hoàn toàn chấm theo cảm tính mà không có bất cứ một thang điểm cụ thể nào .",negative,lecturer,"về cách chấm điểm đồ_án cuối kỳ , giảng_viên hoàn_toàn chấm theo cảm_tính mà không có bất_cứ một thang điểm cụ_thể_nào .",negative,lecturer
thầy ít liên hệ ứng dụng trong thực tế .,negative,lecturer,thầy ít liên_hệ ứng_dụng trong thực_tế .,negative,lecturer
không vận dụng thời gian hợp lý .,negative,lecturer,không_vận_dụng thời_gian hợp_lý .,negative,training_program
"thầy cho chép nhiều , ít giảng bài .",negative,lecturer,"thầy cho chép nhiều , ít giảng bài .",negative,lecturer
"cô giảng lý thuyết hơn dài , bài tập áp dụng ít chỉ toàn những bài cơ bản , khó áp dụng những bài đó để giải những bài khác nâng cấp hơn .",negative,lecturer,"cô giảng lý_thuyết hơn dài , bài_tập áp_dụng ít chỉ toàn những bài cơ_bản , khó áp_dụng những bài đó để giải những bài khác nâng_cấp hơn .",negative,training_program
"giảng viên không đảm bảo giờ lên lớp , không lên lớp giảng dạy .",negative,lecturer,"giảng_viên không đảm_bảo giờ lên_lớp , không lên_lớp giảng_dạy .",negative,lecturer
ít cho bài tập .,negative,lecturer,ít cho bài_tập .,neutral,training_program
"phát âm của cô hơi sai , đặc biệt phần chữ th .",negative,lecturer,"phát_âm của cô hơi sai , đặc_biệt phần chữ th .",negative,lecturer
nên có hướng dẫn trước mỗi bài tập thực hành .,negative,lecturer,nên có hướng_dẫn trước mỗi bài_tập thực_hành .,negative,training_program
không đảm bảo thời gian lên lớp .,negative,lecturer,không đảm_bảo thời_gian lên_lớp .,negative,lecturer
"sử dụng thời gian lên lớp không hiệu quả , khâu chuẩn bị nội dung chưa tốt .",negative,lecturer,"sử_dụng thời_gian lên_lớp không hiệu_quả , khâu chuẩn_bị nội_dung chưa tốt .",negative,lecturer
cách giảng hơi khó hiểu .,negative,lecturer,cách giảng hơi khó hiểu .,negative,lecturer
không thông báo các buổi thực hành .,negative,lecturer,không thông_báo các buổi thực_hành .,negative,training_program
"thầy nói hơi chậm , còn rườm rà dẫn đến nhiều sinh viên không hiểu hết vấn đề thầy nói .",negative,lecturer,"thầy nói hơi chậm , còn rườm_rà dẫn đến nhiều sinh_viên không hiểu hết vấn_đề thầy nói .",negative,lecturer
"dạy thiên về lý thuyết nhiều , nên kết hợp cả lý thuyết và bài tập vận dụng trong cùng một buổi học để sinh viên dễ dàng nắm bài .",negative,lecturer,"dạy thiên về lý_thuyết nhiều , nên kết_hợp cả lý_thuyết và bài_tập vận_dụng trong cùng một buổi học để sinh_viên dễ_dàng nắm bài .",negative,training_program
không reply mail .,negative,lecturer,không reply mail .,negative,lecturer
em chỉ mong giảng viên đừng đổi giờ lên lớp nữa ạ .,negative,lecturer,em chỉ mong giảng_viên đừng đổi giờ lên_lớp nữa ạ .,negative,lecturer
"thầy thường hay cho lớp nghỉ do thầy bận việc , tuy nhiên thầy nên đảm bảo giờ lên lớp của mình .",negative,lecturer,"thầy thường hay cho lớp nghỉ do thầy bận việc , tuy_nhiên thầy nên đảm_bảo giờ lên_lớp của mình .",negative,lecturer
"em thấy thầy thuân sử dụng thời gian trên lớp thật sự chưa hiệu quả , có những vấn đề khó và tụi em phải về nhà tìm hiểu nhưng thầy lại không giảng lại cặn kẽ mà chỉ nêu ra những kiến thức mang tính hàn lâm tổng quát .",negative,lecturer,"em thấy thầy thuân sử_dụng thời_gian trên lớp thật_sự chưa hiệu_quả , có những vấn_đề khó và tụi em phải về nhà tìm_hiểu nhưng thầy lại không giảng lại cặn_kẽ mà chỉ nêu ra những kiến_thức mang tính hàn_lâm tổng_quát .",negative,lecturer
giảng viên chia thành nhiều nhóm để sinh viên thảo luận có hiệu quả .,negative,lecturer,giảng_viên chia thành nhiều nhóm để sinh_viên thảo_luận có hiệu_quả .,positive,lecturer
"có nhiều sinh viên e ngại trong việc hỏi bài vì vậy giảng viên nên sẵn sàng giúp đỡ sinh viên làm bài tập một cách nhiệt tình , vui vẻ hơn đôi khi sinh viên cần .",negative,lecturer,"có nhiều sinh_viên e_ngại trong việc hỏi bài vì_vậy giảng_viên nên sẵn_sàng giúp_đỡ sinh_viên làm bài_tập một cách_nhiệt_tình , vui_vẻ hơn đôi_khi sinh_viên cần .",negative,lecturer
cung cấp ít từ mới .,negative,lecturer,cung_cấp ít từ mới .,negative,training_program
giảng viên không đảm bảo giờ lên lớp và không cung cấp tài liệu trên moodle .,negative,lecturer,giảng_viên không đảm_bảo giờ lên_lớp và không cung_cấp tài_liệu trên moodle .,negative,lecturer
"hơi khó tính , bớt khó tính .",negative,lecturer,"hơi khó_tính , bớt khó_tính .",negative,lecturer
giảng viên dạy còn tương đối nhanh và hơi khó hiểu .,negative,lecturer,giảng_viên dạy còn tương_đối nhanh và hơi khó hiểu .,negative,lecturer
dạy nhiều nhưng hơi giảng ít .,negative,lecturer,dạy nhiều nhưng hơi giảng ít .,negative,lecturer
mong thầy cho nhiều ví dụ hơn nữa .,negative,lecturer,mong thầy cho nhiều ví_dụ hơn nữa .,neutral,lecturer
"giảng viên đứng lớp không đều , lúc dạy lúc nghỉ , giảng viên không đến lớp để dạy không thông báo cho sinh viên , phòng đào tạo cũng không thông báo !",negative,lecturer,"giảng_viên đứng lớp không đều , lúc dạy lúc nghỉ , giảng_viên không đến lớp để dạy không thông_báo cho sinh_viên , phòng đào_tạo cũng không thông_báo !",negative,lecturer
cô giảng hơi lòng vòng và dài dòng một xíu .,negative,lecturer,cô giảng hơi lòng_vòng và dài_dòng một xíu .,negative,lecturer
"giảng viên giảng dạy nhanh , truyền đạt khó nắm bắt .",negative,lecturer,"giảng_viên giảng_dạy nhanh , truyền_đạt khó nắm_bắt .",negative,lecturer
cho thêm bài tập và ví dụ hiểu rõ cách cài đặt thuật toán .,negative,lecturer,cho thêm bài_tập và ví_dụ hiểu rõ cách cài_đặt thuật_toán .,neutral,training_program
ít demo .,negative,lecturer,ít demo .,negative,training_program
nghỉ học không thông báo hoài .,negative,lecturer,nghỉ học không thông_báo hoài .,negative,lecturer
dạy còn cứng nhắc không nguyên cứu trước khi dạy .,negative,lecturer,dạy còn cứng_nhắc không nguyên cứu trước khi dạy .,negative,lecturer
"nên đưa ra một số bài tập giải mẫu , nêu lên một số lỗi thường gặp .",negative,lecturer,"nên đưa ra một_số bài_tập giải mẫu , nêu lên một_số lỗi thường gặp .",neutral,training_program
nâng cao chất lượng giảng viên và trang thiết bị hỗ trợ .,negative,lecturer,nâng cao chất_lượng giảng_viên và trang thiết_bị hỗ_trợ .,negative,others
tốc độ giảng bài hơi nhanh .,negative,lecturer,tốc_độ giảng bài hơi nhanh .,negative,lecturer
toàn ngồi nói chuyện chả có thực hành gì .,negative,lecturer,toàn ngồi nói_chuyện chả có thực_hành gì .,negative,lecturer
"cách truyền đạt của cô tốt , nhưng nghe một lúc dễ buồn ngủ , học liên tục bốn tiết nên khoảng hai tiết sau cũng có một số bạn ngủ gật .",negative,lecturer,"cách truyền_đạt của cô tốt , nhưng nghe một lúc dễ buồn_ngủ , học liên_tục bốn tiết nên khoảng hai tiết sau cũng có một_số bạn ngủ_gật .",negative,lecturer
""" các bạn có hiểu ý thầy wzjwz287 không ạ "" ( đáp lại thầy là sự im lặng ) .",negative,lecturer,""" các bạn có hiểu ý thầy wzjwz287 không ạ "" ( đáp lại thầy là sự im_lặng ) .",negative,lecturer
nhưng thầy không giải thích rõ ràng .,negative,lecturer,nhưng thầy không giải_thích rõ_ràng .,negative,lecturer
"thầy cần tổ chức một vài buổi giải bài tập nho nhỏ để em hiểu thêm về môn học đặc tả hình thức ( cá nhân em thấy môn này khá khó hiểu ) , đồng thời mong nhà trường sắp xếp lịch dạy của thầy cho ổn thỏa để thầy có thể dạy liên tục mà không bị gián đoạn những buổi họp giao ban đầu tháng colonsmile .",negative,lecturer,"thầy cần tổ_chức một_vài buổi giải bài_tập nho_nhỏ để em hiểu thêm về môn_học đặc_tả hình_thức ( cá_nhân em thấy môn này khá khó hiểu ) , đồng_thời mong nhà_trường sắp_xếp lịch dạy của thầy cho ổn thỏa để thầy có_thể dạy liên_tục mà không bị gián_đoạn những buổi họp giao_ban_đầu tháng colonsmile .",negative,lecturer
"giảng viên thường nghỉ đột xuất nhiều , phương pháp dạy chưa cuốn hút khiến sinh viên chưa thể tập trung vào việc học .",negative,lecturer,"giảng_viên thường nghỉ đột_xuất nhiều , phương_pháp dạy chưa cuốn_hút khiến sinh_viên chưa thể tập_trung vào việc học .",negative,lecturer
mong thầy nên cho sinh viên tự viết code trước khi cho code cụ thể để vận dụng khả năng tư duy của sinh viên được tốt hơn .,negative,lecturer,mong thầy nên cho sinh_viên tự viết code trước khi cho code cụ_thể để vận_dụng khả_năng tư_duy của sinh_viên được tốt hơn .,negative,lecturer
"giảng viên nên cân đối thời gian giảng dạy , không để trễ bài .",negative,lecturer,"giảng_viên nên cân_đối thời_gian giảng_dạy , không để trễ bài .",negative,lecturer
"không cho bài tập về nhà , phần học thực hành có độ dễ chênh lệch rất nhiểu so với lý thuyết .",negative,lecturer,"không cho bài_tập về nhà , phần học thực_hành có độ dễ chênh_lệch rất nhiểu so với lý_thuyết .",negative,training_program
"do trình độ tiếng anh của lớp không cao chỉ một số ít có khả năng nghe , đọc , và hiểu được bài giảng của thấy nên hiệu quả của việc giảng dạy bằng tiếng anh là chưa cao .",negative,lecturer,"do trình_độ tiếng anh của lớp không cao chỉ một_số_ít có khả_năng nghe , đọc , và hiểu được bài giảng của thấy nên hiệu_quả của việc giảng_dạy bằng tiếng anh là chưa cao .",negative,lecturer
hoặc cô có thể cung cấp trực tiếp slide tiếng anh để sinh viên học .,negative,lecturer,hoặc cô có_thể cung_cấp trực_tiếp slide tiếng anh để sinh_viên học .,neutral,training_program
cách truyền đạt không hiệu quả lắm .,negative,lecturer,cách truyền_đạt không hiệu_quả lắm .,negative,lecturer
"thầy tuy rất dễ , nhưng việc không điểm danh và tạo deadline cho các buổi thực hành sẽ gây ra ảnh hưởng tiêu cực nhiều hơn tích cực .",negative,lecturer,"thầy tuy rất dễ , nhưng việc không điểm_danh và tạo deadline cho các buổi thực_hành sẽ gây ra ảnh_hưởng tiêu_cực nhiều hơn tích_cực .",negative,lecturer
"thầy dạy toàn đọc slide , lúc thì học java lúc thì học di động học , học tùm lum không thống nhất với lớp khác .",negative,lecturer,"thầy dạy toàn đọc slide , lúc thì học java lúc thì học di_động_học , học tùm_lum không thống_nhất với lớp khác .",negative,lecturer
"nhà trường nên tuyển chon them những giảng viên có trình độ cao , phù hợp với mức kiến thức của môn học .",negative,lecturer,"nhà_trường nên tuyển chon them những giảng_viên có trình_độ cao , phù_hợp với mức kiến_thức của môn_học .",negative,lecturer
thầy chấm điểm gắt .,negative,lecturer,thầy chấm điểm gắt .,negative,lecturer
mong cô sẽ dạy chậm hơn chút để tụi em có thể theo kịp !,negative,lecturer,mong cô sẽ dạy chậm hơn chút để tụi em có_thể theo kịp !,negative,lecturer
cô nên thư giản tí colonsmallsmile .,negative,lecturer,cô nên thư_giản tí colonsmallsmile .,neutral,lecturer
dẫn ít ví dụ .,negative,lecturer,dẫn ít ví_dụ .,negative,lecturer
"giảng viên để ý rất ít tới sinh viên , khi sinh viên có thắc mắc thì chỉ trả lời cho qua .",negative,lecturer,"giảng_viên để_ý rất ít tới sinh_viên , khi sinh_viên có thắc_mắc thì chỉ trả_lời cho_qua .",negative,lecturer
thầy hay nghỉ dạy đột xuất .,negative,lecturer,thầy hay nghỉ dạy đột_xuất .,negative,lecturer
điều em không hài lòng nhất đó là đôi lúc thầy dạy khó hiểu .,negative,lecturer,điều em không hài_lòng nhất đó là đôi lúc thầy dạy khó hiểu .,negative,lecturer
em kiến nghị thầy điểm thuyết trình và báo cáo phải riêng .,negative,lecturer,em kiến_nghị thầy điểm thuyết_trình và báo_cáo phải riêng .,neutral,training_program
thầy không lên lớp bất cứ buổi nào của tiết thực hành và cũng không thấy rằng thầy bù cho những tiết đó .,negative,lecturer,thầy không lên_lớp bất_cứ buổi nào của tiết thực_hành và cũng không thấy rằng thầy bù cho những tiết đó .,negative,lecturer
thầy có thể làm thêm nhiều bài mẫu trên lớp hơn để bọn em nắm rõ bài hơn .,negative,lecturer,thầy có_thể làm thêm nhiều bài mẫu trên lớp hơn để bọn em nắm rõ bài hơn .,neutral,lecturer
"yêu cầu về bài tập về nhà và đồ án của cô không phù hợp với phương pháp giảng dạy của thầy wzjwz309 , em nghĩ cô nên thảo luận với thầy rõ hơn về yêu cầu của đồ án môn học .",negative,lecturer,"yêu_cầu về bài_tập về nhà và đồ_án của cô không phù_hợp với phương_pháp giảng_dạy của thầy wzjwz309 , em nghĩ cô nên thảo_luận với thầy rõ hơn về yêu_cầu của đồ_án môn_học .",negative,training_program
thầy có vẻ hơi khó tính chút xíu nên học sinh hơi bị thụ động trong phát biểu và giải bài tập .,negative,lecturer,thầy có vẻ hơi khó_tính chút_xíu nên học_sinh hơi bị thụ_động trong phát_biểu và giải bài_tập .,negative,lecturer
"chỉ có thầy wzjwz320 dạy , em cảm thấy học và thi không ăn nhập gì với nhau .",negative,lecturer,"chỉ có thầy wzjwz320 dạy , em cảm_thấy học và thi không ăn_nhập gì với nhau .",negative,lecturer
thầy dạy hết sức mơ hồ và khó hiểu .,negative,lecturer,thầy dạy hết_sức mơ_hồ và khó hiểu .,negative,lecturer
giáo viên dạy toàn trong sách giáo trình .,negative,lecturer,giáo_viên dạy toàn trong sách giáo_trình .,negative,lecturer
hay lan man dạy những thứ không cần thiết .,negative,lecturer,hay lan_man dạy những thứ không cần_thiết .,negative,lecturer
"hình dung chưa, câu mà thầy hay hỏi nhất .",negative,lecturer,"hình_dung chưa , câu mà thầy hay hỏi nhất .",neutral,lecturer
"đã vậy còn không tôn trọng sinh viên bằng việc cắt ngang buổi seminar của sinh viên với lý do "" em nói nhiều quá , thôi lướt qua phần này đi "" .",negative,lecturer,"đã vậy còn không tôn_trọng sinh_viên bằng việc cắt ngang buổi seminar của sinh_viên với lý_do "" em nói nhiều quá , thôi lướt qua phần này đi "" .",negative,lecturer
"thái độ giảng dạy chưa nhiệt tình , khô khan .",negative,lecturer,"thái_độ giảng_dạy chưa nhiệt_tình , khô_khan .",negative,lecturer
sử dụng slide để hạn chế việc ghi chép quá nhiều .,negative,lecturer,sử_dụng slide để hạn_chế việc ghi_chép quá nhiều .,neutral,training_program
đa số thời gian trên lớp thầy không đi vào nội dung bài học mà thường xuyên nói những vấn đề không liên quan và cần thiết đến bài học .,negative,lecturer,đa_số thời_gian trên lớp thầy không đi vào nội_dung bài_học mà thường_xuyên nói những vấn_đề không liên_quan và cần_thiết đến bài_học .,negative,lecturer
"cô dạy quá phân biệt trình độ trong lớp , không thích các sinh viên yếu .",negative,lecturer,"cô dạy quá phân_biệt trình_độ trong lớp , không thích các sinh_viên yếu .",negative,lecturer
thầy nói rất nhanh nhiều lúc nghe không được !,negative,lecturer,thầy nói rất nhanh nhiều lúc nghe không được !,negative,lecturer
ngôn ngữ dùng để thuyết trình bài học còn hơi khó nghe được vì giảng viên giảng bài bằng tiếng anh .,negative,lecturer,ngôn_ngữ dùng để thuyết_trình bài_học còn hơi khó nghe được vì giảng_viên giảng bài bằng tiếng anh .,negative,lecturer
mong các thầy cô sẽ đầu tư nhiều hơn vào phần speaking và writing .,negative,lecturer,mong các thầy cô sẽ đầu_tư nhiều hơn vào phần speaking và writing .,negative,training_program
"sử dụng thời gian không hiệu quả , đi quá muộn và về quá trễ ( 8h30 vào lớp 12h về ) .",negative,lecturer,"sử_dụng thời_gian không hiệu_quả , đi quá muộn và về quá trễ ( 8h30 vào lớp 12h về ) .",negative,lecturer
"ít sử dụng micro , nói nhỏ .",negative,lecturer,"ít sử_dụng micro , nói_nhỏ .",negative,lecturer
truyền đạt chưa tốt .,negative,lecturer,truyền_đạt chưa tốt .,negative,lecturer
giọng của cô hơi khó nghe .,negative,lecturer,giọng của cô hơi khó nghe .,negative,lecturer
"giọng thầy hơi khó nghe , dễ gây buồn ngủ .",negative,lecturer,"giọng thầy hơi khó nghe , dễ gây buồn_ngủ .",negative,lecturer
chép bài nhiều .,negative,others,chép bài nhiều .,negative,training_program
học khó hiểu .,negative,others,học khó hiểu .,negative,training_program
học thì quá ít nhưng khi thi thì quá nhiều yêu cầu viết code trong đề thi thì sao mà sinh viên có thể làm được .,negative,others,học thì quá ít nhưng khi thi thì quá nhiều yêu_cầu viết code trong đề thi thì sao mà sinh_viên có_thể làm được .,negative,training_program
chúng em phải vất vả lắm mới có thể hoàn thành được .,negative,others,chúng em phải vất_vả lắm mới có_thể hoàn_thành được .,negative,training_program
em không hiểu .,negative,others,em không hiểu .,negative,training_program
cố chấp .,negative,others,cố_chấp .,negative,lecturer
sinh viên không hiểu lắm .,negative,others,sinh_viên không hiểu lắm .,negative,lecturer
em mong giờ lên lớp có những niềm vui hơn .,negative,others,em mong giờ lên_lớp có những niềm vui hơn .,negative,lecturer
đề cương môn học nên rõ ràng hơn .,negative,training_program,đề_cương môn_học nên rõ_ràng hơn .,negative,training_program
em chả hiểu gì về môn này .,negative,training_program,em chả hiểu gì về môn này .,negative,training_program
"ngoài ra , môn này khi đánh giá đồ án cuối kỳ thì chỉ nên đánh giá vào cách trình bày file báo cáo , cách báo cáo , cách thuyết trình .",negative,training_program,"ngoài_ra , môn này khi đánh_giá đồ_án cuối kỳ thì chỉ nên đánh_giá vào cách trình_bày file báo_cáo , cách báo_cáo , cách thuyết_trình .",neutral,training_program
"không khí lớp học không được sôi động , năng nổ .",negative,training_program,"không_khí lớp_học không được sôi_động , năng_nổ .",negative,lecturer
"đề thi không phân bố điểm , nếu chạy được chương trình thì có điểm , không chạy được chương trình thì 0 điểm .",negative,training_program,"đề thi không phân_bố điểm , nếu chạy được chương_trình thì có điểm , không chạy được chương_trình thì 0 điểm .",negative,training_program
định hướng từ sớm về cách tiếp cận đồ án đối với sinh viên .,negative,training_program,định_hướng từ sớm về cách tiếp_cận đồ_án đối_với sinh_viên .,positive,training_program
"môn này hay , tuy nhiên thời gian học quá ít , sinh viên vận dụng chưa được nhiều trong thực tế .",negative,training_program,"môn này hay , tuy_nhiên thời_gian học quá ít , sinh_viên vận_dụng chưa được nhiều trong thực_tế .",negative,training_program
cần sử dụng web môn học để thông báo điểm thi cho sinh viên .,negative,training_program,cần sử_dụng web môn_học để thông_báo điểm thi cho sinh_viên .,neutral,training_program
đề nghị tăng tiết học cho môn này .,negative,training_program,đề_nghị tăng tiết học cho môn này .,neutral,training_program
"giảm thời lượng lý thuyết , tăng thời lượng thực hành .",negative,training_program,"giảm thời_lượng lý_thuyết , tăng thời_lượng thực_hành .",neutral,training_program
tài liệu cung cấp cho sinh viên trên web của trường còn ít .,negative,training_program,tài_liệu cung_cấp cho sinh_viên trên web của trường còn ít .,negative,training_program
đề thi thực hành quá khó .,negative,training_program,đề thi thực_hành quá khó .,negative,training_program
cần tập trung vào thực hành .,negative,training_program,cần tập_trung vào thực_hành .,neutral,training_program
"đề nghị bỏ phần thì lý thuyết vào cuối kỳ , chỉ lấy 2 cột điểm seminar giữa kỳ và đồ án cuối kỳ .",negative,training_program,"đề_nghị bỏ phần thì lý_thuyết vào cuối kỳ , chỉ lấy 2 cột điểm seminar giữa kỳ và đồ_án cuối kỳ .",negative,training_program
đề nghị giảm tải đối với môn học này !,negative,training_program,đề_nghị giảm tải đối_với môn_học này !,negative,training_program
phân bổ thời gian không hợp lý lắm trong từng phần chương trình học .,negative,training_program,phân_bổ thời_gian không hợp_lý lắm trong từng phần chương_trình học .,negative,training_program
số lượng sinh viên quá đông cho một lớp học nên giảm khoảng 30 - 50 sinh viên .,negative,training_program,số_lượng sinh_viên quá đông cho một lớp_học nên giảm khoảng 30 - 50 sinh_viên .,negative,facility
môn học cần thiết và thiết thực với ngành học .,negative,training_program,môn_học cần_thiết và thiết_thực với ngành học .,positive,training_program
cần cải thiện chương trình dạy học .,negative,training_program,cần cải_thiện chương_trình dạy_học .,negative,training_program
cần điều chỉnh số lượng sinh viên hợp lý trong lớp học bởi trong lớp khá đông .,negative,training_program,cần điều_chỉnh số_lượng sinh_viên hợp_lý trong lớp_học bởi trong lớp khá đông .,negative,facility
nên tăng thêm nhiều thời gian thực hành vì môn game khó mà chỉ thực hành có 3 buổi thì không đủ để sinh viên có thể hiểu hết vấn đề .,negative,training_program,nên tăng thêm nhiều thời_gian thực_hành vì môn game khó mà chỉ_thực_hành có 3 buổi thì không đủ để sinh_viên có_thể hiểu hết vấn_đề .,negative,training_program
nếu mà học như vậy thì sinh viên ngồi ở nhà lên mạng làm bài cũng được .,negative,training_program,nếu mà học như_vậy thì sinh_viên ngồi ở nhà lên mạng làm bài cũng được .,negative,training_program
